0.0,2.3850,4.405,0.132,1.3962
0.0,2.3999,31.69,1.083,1.3962
0.0,2.4614,67.57,3.110,1.3962
0.1,2.5881,75.21,5.366,1.3962
0.1,2.7839,76.84,7.672,1.3962
0.1,3.0476,74.19,9.898,1.3962
0.2,3.3770,71.49,12.04,1.3962
0.2,3.7695,69.27,14.12,1.3962
0.2,4.2241,68.68,16.18,1.3962
0.3,4.7403,68.21,18.22,1.3962
0.3,5.3176,67.74,20.26,1.3962
0.3,5.9558,67.27,22.27,1.3962
0.3,6.6542,66.79,24.28,1.3962
0.4,7.4126,66.26,26.27,1.3962
0.4,8.2303,65.54,28.23,1.3962
0.4,9.1067,65.08,30.18,1.3962
0.5,10.041,64.97,32.13,1.3962
0.5,11.035,64.97,34.08,1.3962
0.5,12.086,64.97,36.03,1.3962
0.6,13.197,65.00,37.98,1.3961
0.6,14.366,65.01,39.93,1.3961
0.6,15.593,65.01,41.88,1.3960
0.6,16.879,65.01,43.83,1.3959
0.7,18.223,65.01,45.78,1.3958
0.7,19.626,65.01,47.73,1.3956
0.7,21.087,65.02,49.68,1.3954
0.8,22.607,65.03,51.63,1.3952
0.8,24.185,65.04,53.58,1.3949
0.8,25.822,65.05,55.52,1.3945
0.8,27.517,65.07,57.47,1.3941
0.9,29.270,65.08,59.42,1.3937
0.9,31.082,65.10,61.37,1.3932
0.9,32.953,65.13,63.31,1.3926
1.0,34.882,65.20,65.26,1.3919
1.0,36.869,65.27,67.21,1.3912
1.0,38.915,65.34,69.16,1.3904
1.1,41.019,65.42,71.11,1.3896
1.1,43.182,65.49,73.07,1.3886
1.1,45.403,65.57,75.02,1.3876
1.2,47.683,65.64,76.97,1.3865
1.2,50.022,65.71,78.93,1.3854
1.2,52.419,65.78,80.88,1.3842
1.2,54.875,65.85,82.84,1.3829
1.3,57.390,65.91,84.79,1.3816
1.3,59.963,65.96,86.75,1.3802
1.3,62.595,66.01,88.70,1.3788
1.4,65.285,66.04,90.66,1.3774
1.4,68.035,66.07,92.62,1.3759
1.4,70.843,66.09,94.57,1.3745
1.5,73.709,66.05,96.53,1.3730
1.5,76.635,65.97,98.48,1.3716
1.5,79.618,65.86,100.4,1.3702
1.5,82.661,65.75,102.3,1.3689
1.6,85.761,65.63,104.3,1.3676
1.6,88.920,65.49,106.2,1.3664
1.6,92.137,65.34,108.1,1.3653
1.7,95.412,65.18,110.1,1.3643
1.7,98.745,65.02,112.0,1.3634
1.7,102.13,64.85,113.9,1.3626
1.7,105.58,64.68,115.9,1.3620
1.8,109.09,64.51,117.8,1.3614
1.8,112.65,64.34,119.7,1.3610
1.8,116.27,64.18,121.6,1.3607
1.9,119.95,64.02,123.5,1.3606
1.9,123.69,63.87,125.5,1.3605
1.9,127.48,63.72,127.4,1.3605
2.0,131.33,63.53,129.3,1.3606
2.0,135.24,63.34,131.2,1.3608
2.0,139.21,63.16,133.1,1.3610
2.1,143.23,63.00,135.0,1.3612
2.1,147.31,62.86,136.9,1.3614
2.1,151.44,62.73,138.8,1.3616
2.1,155.64,62.62,140.6,1.3617
2.2,159.89,62.52,142.5,1.3618
2.2,164.19,62.44,144.4,1.3617
2.2,168.55,62.37,146.3,1.3616
2.3,172.97,62.30,148.1,1.3614
2.3,177.44,62.24,150.0,1.3610
2.3,181.97,62.18,151.8,1.3605
2.4,186.55,62.10,153.7,1.3599
2.4,191.19,62.01,155.5,1.3593
2.4,195.89,61.90,157.3,1.3585
2.4,200.64,61.73,159.2,1.3577
2.5,205.44,61.44,161.0,1.3568
2.5,210.30,61.11,162.8,1.3559
2.5,215.21,60.75,164.6,1.3551
2.6,220.18,60.35,166.4,1.3542
2.6,225.19,59.92,168.1,1.3535
2.6,230.27,59.46,169.9,1.3528
2.6,235.39,58.99,171.6,1.3522
2.7,240.57,58.51,173.4,1.3518
2.7,245.79,58.03,175.1,1.3514
2.7,251.07,57.56,176.8,1.3512
2.8,256.41,57.10,178.5,1.3510
2.8,261.79,56.67,180.2,1.3510
2.8,267.22,56.27,181.9,1.3510
2.9,272.71,55.90,183.6,1.3510
2.9,278.24,55.56,185.3,1.3510
2.9,283.82,55.25,186.9,1.3510
3.0,289.46,55.01,188.6,1.3510
3.0,295.14,54.83,190.2,1.3509
3.0,300.87,54.66,191.8,1.3507
3.0,306.65,54.50,193.5,1.3505
3.1,312.48,54.34,195.1,1.3501
3.1,318.36,54.16,196.7,1.3497
3.1,324.29,53.95,198.3,1.3491
3.2,330.26,53.70,199.9,1.3486
3.2,336.28,53.42,201.4,1.3480
3.2,342.35,53.09,203.0,1.3474
3.3,348.46,52.71,204.6,1.3468
3.3,354.63,52.31,206.1,1.3463
3.3,360.83,51.87,207.6,1.3458
3.3,367.09,51.42,209.2,1.3454
3.4,373.38,50.97,210.7,1.3451
3.4,379.73,50.53,212.2,1.3449
3.4,386.12,50.10,213.7,1.3447
3.5,392.55,49.60,215.2,1.3446
3.5,399.03,49.10,216.6,1.3445
3.5,405.55,48.64,218.1,1.3445
3.5,412.12,48.22,219.5,1.3444
3.6,418.73,47.82,220.9,1.3442
3.6,425.38,47.45,222.4,1.3440
3.6,432.07,47.07,223.8,1.3438
3.7,438.81,46.69,225.1,1.3434
3.7,445.58,46.29,226.5,1.3430
3.7,452.40,45.86,227.9,1.3426
3.8,459.26,45.39,229.2,1.3422
3.8,466.16,44.87,230.5,1.3417
3.8,473.09,44.32,231.8,1.3413
3.9,480.07,43.74,233.1,1.3409
3.9,487.08,43.14,234.4,1.3406
3.9,494.14,42.53,235.7,1.3403
